epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,4603.19,1.30309,0.56859,0.00164,0.81288,0.47953,0.5654,0.2905,2.04155,2.1804,0.00313,0.0002576,0.0002576,0.0002576
90,4653.48,1.31504,0.58096,0.00164,0.84142,0.48538,0.56031,0.28493,2.04655,2.21698,0.00319,0.0002378,0.0002378,0.0002378
91,4704.75,1.22022,0.53842,0.00168,0.8049,0.45841,0.52937,0.2648,2.03929,2.27802,0.00314,0.000218,0.000218,0.000218
92,4754.49,1.22215,0.51978,0.00169,0.82862,0.48538,0.56878,0.28639,2.01547,2.10671,0.00308,0.0001982,0.0001982,0.0001982
93,4804.33,1.20692,0.51585,0.00167,0.83158,0.50529,0.58736,0.29612,1.98946,2.05942,0.00306,0.0001784,0.0001784,0.0001784
94,4853.94,1.23541,0.53403,0.00165,0.80832,0.4809,0.55777,0.28977,2.02822,2.12155,0.00315,0.0001586,0.0001586,0.0001586
95,4903.63,1.21547,0.51047,0.00163,0.8488,0.50292,0.57581,0.29912,1.99093,1.99125,0.00307,0.0001388,0.0001388,0.0001388
96,4953.44,1.20578,0.52523,0.00166,0.80935,0.50877,0.56667,0.2921,2.04374,1.95778,0.00318,0.000119,0.000119,0.000119
97,5003.12,1.20727,0.51921,0.0016,0.83175,0.51462,0.57558,0.29411,2.00996,1.98533,0.00312,9.92e-05,9.92e-05,9.92e-05
98,5052.94,1.18933,0.51119,0.00166,0.82491,0.51754,0.57537,0.2967,2.01003,2.00993,0.00312,7.94e-05,7.94e-05,7.94e-05
99,5102.77,1.22376,0.56099,0.00166,0.82845,0.50834,0.5806,0.29931,2.01786,2.01812,0.00312,5.96e-05,5.96e-05,5.96e-05
100,5152.6,1.19908,0.52775,0.00163,0.81835,0.51375,0.5824,0.29932,2.01347,1.98824,0.00311,3.98e-05,3.98e-05,3.98e-05
