epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
112,8556.77,1.0995,0.5407,0.00358,0.93999,0.93384,0.96161,0.72305,0.95032,0.41956,0.00384,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
113,8632.82,1.06595,0.51918,0.00358,0.94502,0.926,0.96075,0.72222,0.94542,0.43305,0.00382,0.007824,0.002608,0.007824,0.002608,0.007824,0.002608,0.007824,0.002608
114,8709.38,1.07738,0.50811,0.00353,0.93235,0.93006,0.95829,0.72112,0.94991,0.43146,0.00385,0.007626,0.002542,0.007626,0.002542,0.007626,0.002542,0.007626,0.002542
115,8785.03,1.05562,0.49887,0.00346,0.95048,0.92628,0.95761,0.7176,0.95238,0.42243,0.00386,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
116,8861,1.04886,0.48745,0.00348,0.95849,0.91664,0.95795,0.71968,0.95077,0.42065,0.00385,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241
117,8936.57,1.05629,0.48795,0.00343,0.9486,0.91966,0.95804,0.71953,0.95258,0.42228,0.00386,0.007032,0.002344,0.007032,0.002344,0.007032,0.002344,0.007032,0.002344
118,9011.35,1.03259,0.49488,0.00339,0.94964,0.91966,0.95843,0.72196,0.94481,0.42603,0.00383,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
119,9086.01,1.04289,0.50042,0.00339,0.95356,0.91493,0.96087,0.72339,0.94632,0.42503,0.00383,0.006636,0.002212,0.006636,0.002212,0.006636,0.002212,0.006636,0.002212
120,9161.41,1.05634,0.49719,0.00348,0.95003,0.91653,0.96026,0.72195,0.94664,0.42968,0.00382,0.006438,0.002146,0.006438,0.002146,0.006438,0.002146,0.006438,0.002146
121,9236.34,1.03561,0.49935,0.00335,0.95076,0.91255,0.96003,0.72128,0.946,0.42909,0.00382,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
122,9311.69,1.03429,0.47956,0.00336,0.9564,0.90454,0.9586,0.72053,0.94246,0.43403,0.00381,0.006042,0.002014,0.006042,0.002014,0.006042,0.002014,0.006042,0.002014
123,9387.37,1.03216,0.4883,0.00336,0.93259,0.9206,0.95849,0.72109,0.94093,0.43183,0.00381,0.005844,0.001948,0.005844,0.001948,0.005844,0.001948,0.005844,0.001948
124,9463.12,1.02794,0.47503,0.00334,0.94269,0.91734,0.95825,0.72119,0.94108,0.43406,0.00381,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
125,9538.13,1.01984,0.47451,0.00331,0.94479,0.92202,0.95941,0.72277,0.94454,0.422,0.00383,0.005448,0.001816,0.005448,0.001816,0.005448,0.001816,0.005448,0.001816
126,9613.23,1.03824,0.48622,0.00335,0.95756,0.91701,0.96103,0.72501,0.94759,0.4105,0.00385,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175
127,9689.83,1.01234,0.46157,0.00338,0.95686,0.91588,0.96238,0.72496,0.9406,0.42624,0.00381,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
128,9766.46,1.00551,0.46589,0.0033,0.9565,0.91437,0.96145,0.72377,0.94468,0.41756,0.00383,0.004854,0.001618,0.004854,0.001618,0.004854,0.001618,0.004854,0.001618
129,9842.93,1.02105,0.48449,0.0033,0.94827,0.91829,0.96156,0.72418,0.94222,0.41948,0.00382,0.004656,0.001552,0.004656,0.001552,0.004656,0.001552,0.004656,0.001552
130,9917.57,1.00672,0.46563,0.0033,0.94654,0.9206,0.96175,0.72623,0.94038,0.41706,0.00381,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
131,9993.06,1.01507,0.47008,0.00323,0.95177,0.91966,0.96234,0.72736,0.94095,0.41092,0.00382,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142
132,10069.5,0.97224,0.42769,0.00317,0.9474,0.92344,0.96237,0.72644,0.94066,0.40889,0.00382,0.004062,0.001354,0.004062,0.001354,0.004062,0.001354,0.004062,0.001354
133,10144.1,1.00999,0.46767,0.00324,0.94441,0.92628,0.96186,0.72756,0.93911,0.41146,0.00381,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
134,10219.3,0.99184,0.43487,0.00324,0.94732,0.92817,0.9625,0.72755,0.9389,0.41039,0.00381,0.003666,0.001222,0.003666,0.001222,0.003666,0.001222,0.003666,0.001222
135,10294.1,0.97662,0.45676,0.00315,0.94583,0.93006,0.96296,0.72744,0.9379,0.4088,0.00381,0.003468,0.001156,0.003468,0.001156,0.003468,0.001156,0.003468,0.001156
136,10369.8,0.96939,0.4382,0.00316,0.95047,0.92504,0.96239,0.7278,0.93724,0.41338,0.0038,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
137,10444.9,0.97321,0.44828,0.00317,0.95569,0.92155,0.9627,0.72774,0.93656,0.41311,0.0038,0.003072,0.001024,0.003072,0.001024,0.003072,0.001024,0.003072,0.001024
138,10520.2,0.98296,0.4528,0.00313,0.95589,0.92169,0.96263,0.72739,0.9366,0.41199,0.0038,0.002874,0.000958,0.002874,0.000958,0.002874,0.000958,0.002874,0.000958
